Date,Forecast
2021-07-04,-0.0008898774
2021-07-11,6.8823633
2021-07-18,2.684696
2021-07-25,9.323139
2021-08-01,7.985969
2021-08-08,11.4111395
2021-08-15,8.813397
2021-08-22,4.853277
2021-08-29,-0.26560792
2021-09-05,-0.110878274
2021-09-12,-0.7483899
2021-09-19,-0.6817916
2021-09-26,0.2534298
2021-10-03,0.24137278
2021-10-10,0.23561914
2021-10-17,0.24080168
2021-10-24,6.7754145
2021-10-31,2.7887962
2021-11-07,4.9808626
2021-11-14,10.064188
2021-11-21,18.417501
2021-11-28,21.049482
2021-12-05,9.242661
2021-12-12,0.83408797
2021-12-19,-0.08029413
2021-12-26,-0.660127
2022-01-02,-0.7168949
2022-01-09,-0.3970523
2022-01-16,0.933656
2022-01-23,0.25954112
2022-01-30,0.038914893
2022-02-06,2.407386
2022-02-13,0.25071928
2022-02-20,0.7578933
2022-02-27,2.6308846
2022-03-06,7.9370832
2022-03-13,17.299866
2022-03-20,20.309254
2022-03-27,8.436952
2022-04-03,-0.008799445
2022-04-10,-0.019044317
2022-04-17,-0.6605623
2022-04-24,-0.7168949
2022-05-01,-0.40715057
2022-05-08,0.20497383
2022-05-15,0.2018228
2022-05-22,0.23561914
2022-05-29,-0.019449797
2022-06-05,-0.092369184
2022-06-12,0.7726145
2022-06-19,3.7231488
2022-06-26,12.217747
2022-07-03,19.845284
2022-07-10,20.684805
2022-07-17,8.851024
2022-07-24,1.7369789
2022-07-31,-0.12120264
2022-08-07,-0.6840606
2022-08-14,-0.7168949
2022-08-21,-0.3970523
2022-08-28,0.31801343
2022-09-04,0.20497383
2022-09-11,0.24164104
2022-09-18,0.24915342
2022-09-25,-0.092369184
2022-10-02,0.7726145
2022-10-09,2.9120674
2022-10-16,9.278662
2022-10-23,19.536755
2022-10-30,20.666819
2022-11-06,9.242661
2022-11-13,1.7115415
2022-11-20,-0.09243128
2022-11-27,-0.67249566
2022-12-04,-0.7168949
2022-12-11,-0.3970523
2022-12-18,0.31801343
2022-12-25,0.20497383
